year,gss_code,usual_residence_of_mother,type,total_births_all,total_births_uk_mothers,total_births_overseas_mothers,overseas_mothers_total_EU,overseas_mothers_pre2004_EU_countries,overseas_mothers_post2004_EU_accession_countries,overseas_mothers_non_EU_europe,overseas_mothers_asia,overseas_mothers_africa,overseas_mothers_rest_of_world
2016,E12000004,EAST MIDLANDS,Region,53299,41220,12078,5672,957,4715,475,3656,1841,434
2016,E12000005,WEST MIDLANDS,Region,71041,52787,18249,5928,1007,4921,418,8019,3113,771
2016,E12000006,EAST,Region,72250,53769,18478,8692,2122,6570,935,4732,2548,1571
2016,E12000007,LONDON,Region,128803,53866,74923,22573,7630,14943,5382,24235,15600,7133
2016,E12000008,SOUTH EAST,Region,101982,76283,25693,10623,3239,7384,1208,7875,3949,2038
2016,E12000009,SOUTH WEST,Region,57316,47548,9765,4919,1513,3406,458,2109,1434,845
2016,E09000007,Camden,London Borough,2732,1055,1677,446,319,127,153,532,298,248
2016,E09000013,Hammersmith and Fulham,London Borough,2509,1023,1485,492,353,139,113,309,297,274
2016,E09000014,Haringey,London Borough,4114,1564,2549,1040,307,733,325,350,503,331
2016,E09000019,Islington,London Borough,2945,1417,1528,448,323,125,169,270,379,262
2016,E09000020,Kensington and Chelsea,London Borough,1729,506,1223,411,338,73,116,264,167,265
2016,E09000022,Lambeth,London Borough,4209,1954,2255,680,416,264,102,267,716,490
2016,E09000023,Lewisham,London Borough,4721,2185,2536,729,328,401,170,457,764,416
2016,E09000025,Newham,London Borough,6027,1465,4562,1134,170,964,154,2249,863,162
2016,E09000028,Southwark,London Borough,4503,1877,2626,547,333,214,141,466,1061,411
2016,E09000030,Tower Hamlets,London Borough,4592,1774,2817,449,254,195,95,1738,352,183
2016,E09000032,Wandsworth,London Borough,4860,2395,2464,850,510,340,147,538,456,473
2016,E09000033,Westminster,London Borough,2654,750,1903,471,355,116,181,673,285,293
2016,E09000002,Barking and Dagenham,London Borough,3973,1310,2663,769,98,671,203,817,820,54
2016,E09000003,Barnet,London Borough,5301,2187,3113,1158,242,916,321,929,505,200
2016,E09000004,Bexley,London Borough,3091,1996,1094,292,67,225,78,251,412,61
2016,E09000005,Brent,London Borough,5146,1236,3910,1198,254,944,123,1587,713,289
2016,E09000006,Bromley,London Borough,4326,2860,1466,504,207,297,126,370,290,176
2016,E09000008,Croydon,London Borough,5894,2754,3138,907,250,657,171,872,829,359
2016,E09000009,Ealing,London Borough,5250,1507,3743,1121,285,836,152,1689,550,231
2016,E09000010,Enfield,London Borough,5000,1960,3040,971,171,800,675,442,778,174
2016,E09000011,Greenwich,London Borough,4621,1939,2681,713,221,492,170,622,963,213
2016,E09000015,Harrow,London Borough,3606,1049,2555,1062,85,977,66,1137,236,54
2016,E09000016,Havering,London Borough,3423,2348,1074,397,61,336,108,268,244,57
2016,E09000017,Hillingdon,London Borough,4508,1923,2585,637,124,513,99,1314,453,82
2016,E09000018,Hounslow,London Borough,4351,1369,2982,870,199,671,137,1378,451,146
2016,E09000021,Kingston upon Thames,London Borough,2204,1189,1015,330,135,195,78,374,125,108
2016,E09000024,Merton,London Borough,3246,1340,1906,673,237,436,106,607,324,196
2016,E09000026,Redbridge,London Borough,4782,1671,3110,824,130,694,228,1645,328,85
2016,E09000027,Richmond upon Thames,London Borough,2544,1497,1047,420,221,199,102,221,117,187
2016,E09000029,Sutton,London Borough,2741,1614,1127,372,102,270,74,387,216,78
2016,E09000031,Waltham Forest,London Borough,4700,1893,2807,1097,194,903,239,746,511,214
2016,E09000012,Hackney and City of London,London Borough,4501,2259,2242,561,341,220,260,466,594,361
2017,E92000001,ENGLAND,Country,646794,457930,188829,69817,19134,50683,10222,62904,32326,13560
2017,W92000004,WALES,Country,32176,28415,3759,1633,461,1172,163,1199,543,221
2017,E12000001,NORTH EAST,Region,27488,24351,3137,1025,309,716,126,1352,509,125
2017,E12000002,NORTH WEST,Region,83822,67484,16334,5351,1410,3941,442,7051,2848,642
2017,E12000003,YORKSHIRE AND THE HUMBER,Region,62088,49022,13064,4945,938,4007,386,5397,1892,444
2017,E12000004,EAST MIDLANDS,Region,52041,40021,12018,5711,870,4841,512,3569,1804,422
2017,E12000005,WEST MIDLANDS,Region,69331,51164,18162,5959,1038,4921,483,7855,3167,698
2017,E12000006,EAST,Region,70725,52659,18060,8623,2092,6531,974,4588,2381,1494
2017,E12000007,LONDON,Region,126308,53125,73179,22635,7798,14837,5523,23522,14548,6951
2017,E12000008,SOUTH EAST,Region,99108,73842,25260,10648,3189,7459,1318,7502,3841,1951
2017,E12000009,SOUTH WEST,Region,55883,46262,9615,4920,1490,3430,458,2068,1336,833
2017,E09000007,Camden,London Borough,2607,947,1660,452,313,139,162,509,316,221
2017,E09000013,Hammersmith and Fulham,London Borough,2392,961,1431,467,333,134,118,297,279,270
2017,E09000014,Haringey,London Borough,3881,1495,2386,932,288,644,325,338,507,284
2017,E09000019,Islington,London Borough,2946,1350,1596,467,323,144,180,258,412,279
2017,E09000020,Kensington and Chelsea,London Borough,1699,520,1179,407,328,79,122,255,152,243
2017,E09000022,Lambeth,London Borough,4265,2031,2234,695,448,247,91,300,661,487
2017,E09000023,Lewisham,London Borough,4751,2263,2488,739,349,390,172,438,732,407
2017,E09000025,Newham,London Borough,5966,1548,4418,1186,218,968,205,2097,732,198
2017,E09000028,Southwark,London Borough,4381,1922,2459,546,330,216,127,419,960,407
2017,E09000030,Tower Hamlets,London Borough,4604,1798,2806,468,255,213,124,1731,298,185
2017,E09000032,Wandsworth,London Borough,4721,2334,2387,825,528,297,147,520,407,488
2017,E09000033,Westminster,London Borough,2481,673,1808,415,307,108,174,654,282,283
2017,E09000002,Barking and Dagenham,London Borough,3870,1297,2573,783,82,701,193,776,758,63
2017,E09000003,Barnet,London Borough,5190,2049,3139,1215,274,941,301,968,445,210
2017,E09000004,Bexley,London Borough,3095,1989,1105,345,67,278,77,260,374,49
2017,E09000005,Brent,London Borough,5208,1265,3943,1240,242,998,143,1604,675,281
2017,E09000006,Bromley,London Borough,4238,2736,1502,541,231,310,137,371,281,172
2017,E09000008,Croydon,London Borough,5761,2758,3003,849,258,591,181,845,810,318
2017,E09000009,Ealing,London Borough,5116,1488,3628,1073,301,772,166,1629,549,211
2017,E09000010,Enfield,London Borough,4778,1900,2878,929,169,760,664,370,744,171
2017,E09000011,Greenwich,London Borough,4453,1948,2505,726,239,487,171,574,818,216
2017,E09000015,Harrow,London Borough,3695,974,2721,1179,82,1097,93,1139,253,57
2017,E09000016,Havering,London Borough,3395,2315,1079,433,69,364,128,247,211,60
2017,E09000017,Hillingdon,London Borough,4408,1872,2536,599,138,461,112,1307,439,79
2017,E09000018,Hounslow,London Borough,4166,1289,2877,848,171,677,160,1367,389,113
2017,E09000021,Kingston upon Thames,London Borough,2185,1178,1007,356,157,199,73,360,128,90
2017,E09000024,Merton,London Borough,3172,1268,1904,683,248,435,89,561,353,218
2017,E09000026,Redbridge,London Borough,4707,1595,3112,840,122,718,234,1601,336,101
2017,E09000027,Richmond upon Thames,London Borough,2441,1422,1019,408,227,181,79,228,118,186
2017,E09000029,Sutton,London Borough,2642,1549,1093,362,98,264,80,403,172,76
2017,E09000031,Waltham Forest,London Borough,4684,2062,2622,1079,220,859,246,682,408,207
2017,E09000012,Hackney and City of London,London Borough,4410,2329,2081,548,383,165,249,414,549,321
2018,E92000001,ENGLAND,Country,625651,443762,181859,68108,18455,49653,10426,59292,30618,13415
2018,W92000004,WALES,Country,31274,27628,3646,1644,461,1183,168,1119,530,185
2018,E12000001,NORTH EAST,Region,26684,23517,3167,1104,339,765,134,1221,545,163
2018,E12000002,NORTH WEST,Region,81195,65021,16171,5378,1440,3938,463,6833,2854,643
2018,E12000003,YORKSHIRE AND THE HUMBER,Region,59984,47355,12625,4926,851,4075,361,5036,1908,394
2018,E12000004,EAST MIDLANDS,Region,50018,38380,11637,5522,850,4672,596,3358,1748,413
2018,E12000005,WEST MIDLANDS,Region,67282,49234,18047,6086,1042,5044,505,7578,3117,761
2018,E12000006,EAST,Region,68881,51267,17609,8415,1930,6485,1033,4381,2329,1451
2018,E12000007,LONDON,Region,120673,51731,68936,21642,7591,14051,5626,21614,13244,6810
2018,E12000008,SOUTH EAST,Region,96748,72260,24483,10446,3045,7401,1277,7285,3588,1887
2018,E12000009,SOUTH WEST,Region,54186,44997,9184,4589,1367,3222,431,1986,1285,893
2018,E09000007,Camden,London Borough,2519,924,1595,412,305,107,157,481,305,240
2018,E09000013,Hammersmith and Fulham,London Borough,2314,937,1377,451,335,116,109,303,282,232
2018,E09000014,Haringey,London Borough,3756,1574,2182,897,278,619,287,278,437,283
2018,E09000019,Islington,London Borough,2793,1357,1436,438,324,114,157,238,329,274
2018,E09000020,Kensington and Chelsea,London Borough,1637,503,1134,365,283,82,130,230,173,236
2018,E09000022,Lambeth,London Borough,3917,1986,1931,597,376,221,100,248,567,419
2018,E09000023,Lewisham,London Borough,4504,2222,2282,643,288,355,157,403,663,416
2018,E09000025,Newham,London Borough,5678,1547,4131,1089,195,894,236,2012,637,157
2018,E09000028,Southwark,London Borough,4181,1815,2365,557,367,190,141,414,826,427
2018,E09000030,Tower Hamlets,London Borough,4381,1733,2648,487,287,200,108,1568,288,197
2018,E09000032,Wandsworth,London Borough,4697,2334,2363,812,547,265,135,515,417,484
2018,E09000033,Westminster,London Borough,2510,724,1786,445,317,128,179,572,284,306
2018,E09000002,Barking and Dagenham,London Borough,3700,1219,2481,789,102,687,244,800,605,43
2018,E09000003,Barnet,London Borough,5111,2056,3055,1154,269,885,327,927,441,206
2018,E09000004,Bexley,London Borough,3030,1940,1090,344,77,267,72,250,365,59
2018,E09000005,Brent,London Borough,4705,1155,3548,1167,237,930,128,1397,569,287
2018,E09000006,Bromley,London Borough,4005,2692,1313,481,170,311,117,310,244,161
2018,E09000008,Croydon,London Borough,5425,2571,2854,803,287,516,201,785,762,303
2018,E09000009,Ealing,London Borough,4732,1458,3274,961,249,712,179,1448,493,193
2018,E09000010,Enfield,London Borough,4672,1799,2873,960,183,777,652,385,706,170
2018,E09000011,Greenwich,London Borough,4228,1788,2440,699,251,448,176,543,809,213
2018,E09000015,Harrow,London Borough,3582,975,2607,1219,87,1132,93,997,231,67
2018,E09000016,Havering,London Borough,3307,2220,1087,401,69,332,153,273,210,50
2018,E09000017,Hillingdon,London Borough,4075,1701,2374,653,139,514,108,1172,361,80
2018,E09000018,Hounslow,London Borough,3947,1330,2617,749,163,586,165,1210,362,131
2018,E09000021,Kingston upon Thames,London Borough,2025,1088,937,329,130,199,81,339,98,90
2018,E09000024,Merton,London Borough,3018,1326,1692,621,223,398,100,505,288,178
2018,E09000026,Redbridge,London Borough,4539,1551,2988,836,136,700,287,1451,327,87
2018,E09000027,Richmond upon Thames,London Borough,2310,1391,919,373,189,184,95,200,78,173
2018,E09000029,Sutton,London Borough,2472,1449,1023,354,102,252,83,342,168,76
2018,E09000031,Waltham Forest,London Borough,4468,2044,2423,994,226,768,252,576,397,204
2018,E09000012,Hackney and City of London,London Borough,4435,2322,2111,562,400,162,217,442,522,368
2019,E92000001,ENGLAND,Country,610505,430098,180370,66084,18481,47603,11247,59746,30190,13103
2019,W92000004,WALES,Country,29704,26148,3555,1536,428,1108,166,1113,545,195
2019,E12000001,NORTH EAST,Region,25742,22609,3132,1072,375,697,129,1175,609,147
2019,E12000002,NORTH WEST,Region,80020,63317,16695,5288,1432,3856,537,7190,2995,685
2019,E12000003,YORKSHIRE AND THE HUMBER,Region,58281,45763,12513,4843,808,4035,386,4878,1977,429
2019,E12000004,EAST MIDLANDS,Region,48986,37107,11875,5411,881,4530,709,3527,1783,445
2019,E12000005,WEST MIDLANDS,Region,65982,48202,17779,5912,1018,4894,552,7524,3103,688
2019,E12000006,EAST,Region,67409,49739,17668,8332,2020,6312,1118,4454,2296,1468
2019,E12000007,LONDON,Region,117897,50203,67690,20739,7540,13199,5956,21807,12579,6609
2019,E12000008,SOUTH EAST,Region,93664,69599,24055,10038,2984,7054,1411,7138,3598,1870
2019,E12000009,SOUTH WEST,Region,52524,43559,8963,4449,1423,3026,449,2053,1250,762
2019,E09000007,Camden,London Borough,2448,953,1495,385,281,104,161,468,266,215
2019,E09000013,Hammersmith and Fulham,London Borough,2189,910,1279,461,349,112,86,292,226,214
2019,E09000014,Haringey,London Borough,3595,1450,2145,860,286,574,312,258,449,266
2019,E09000019,Islington,London Borough,2680,1245,1435,456,337,119,131,235,347,266
2019,E09000020,Kensington and Chelsea,London Borough,1612,466,1146,371,309,62,133,249,153,240
2019,E09000022,Lambeth,London Borough,3844,1932,1912,581,400,181,84,219,568,460
2019,E09000023,Lewisham,London Borough,4393,2193,2200,655,307,348,163,376,592,414
2019,E09000025,Newham,London Borough,5492,1466,4026,1083,216,867,282,1900,627,134
2019,E09000028,Southwark,London Borough,4027,1832,2195,509,338,171,138,384,768,396
2019,E09000030,Tower Hamlets,London Borough,4307,1722,2585,466,282,184,121,1499,315,184
2019,E09000032,Wandsworth,London Borough,4471,2278,2193,723,455,268,137,479,402,452
2019,E09000033,Westminster,London Borough,2315,624,1691,419,311,108,181,580,253,258
2019,E09000002,Barking and Dagenham,London Borough,3574,1146,2428,735,84,651,232,774,629,58
2019,E09000003,Barnet,London Borough,4973,1949,3024,1120,298,822,365,914,417,208
2019,E09000004,Bexley,London Borough,2954,1892,1062,298,59,239,88,247,361,68
2019,E09000005,Brent,London Borough,4919,1220,3699,1127,221,906,158,1546,586,282
2019,E09000006,Bromley,London Borough,3862,2596,1265,438,180,258,140,319,214,154
2019,E09000008,Croydon,London Borough,5304,2593,2710,742,273,469,176,796,662,334
2019,E09000009,Ealing,London Borough,4793,1456,3337,942,265,677,172,1531,487,205
2019,E09000010,Enfield,London Borough,4548,1769,2779,921,165,756,678,356,671,153
2019,E09000011,Greenwich,London Borough,4125,1748,2376,698,270,428,184,564,726,204
2019,E09000015,Harrow,London Borough,3526,931,2595,1160,100,1060,101,1060,217,57
2019,E09000016,Havering,London Borough,3186,2016,1170,434,77,357,169,311,202,54
2019,E09000017,Hillingdon,London Borough,4139,1663,2475,646,150,496,156,1218,374,81
2019,E09000018,Hounslow,London Borough,3866,1216,2650,719,158,561,184,1327,317,103
2019,E09000021,Kingston upon Thames,London Borough,1946,1025,921,329,134,195,82,311,114,85
2019,E09000024,Merton,London Borough,2924,1282,1642,577,221,356,107,501,280,177
2019,E09000026,Redbridge,London Borough,4495,1550,2945,738,130,608,367,1467,279,94
2019,E09000027,Richmond upon Thames,London Borough,2181,1238,943,357,204,153,84,218,106,178
2019,E09000029,Sutton,London Borough,2555,1484,1071,361,112,249,80,392,166,72
2019,E09000031,Waltham Forest,London Borough,4482,2041,2441,925,211,714,314,623,388,191
2019,E09000012,Hackney and City of London,London Borough,4172,2317,1855,503,357,146,190,393,417,352
2020,E92000001,ENGLAND,Country,585195,408717,176448,62268,18237,44031,11395,60715,29097,12973
2020,W92000004,WALES,Country,28638,25245,3392,1447,447,1000,173,1038,557,177
2020,E12000001,NORTH EAST,Region,24915,21777,3137,993,344,649,135,1298,554,157
2020,E12000002,NORTH WEST,Region,76329,59650,16678,5011,1555,3456,559,7281,3093,734
2020,E12000003,YORKSHIRE AND THE HUMBER,Region,55916,43608,12302,4558,866,3692,414,5017,1900,413
2020,E12000004,EAST MIDLANDS,Region,46950,35260,11686,5085,899,4186,773,3657,1755,416
2020,E12000005,WEST MIDLANDS,Region,63748,45943,17803,5587,1083,4504,567,7683,3262,704
2020,E12000006,EAST,Region,64313,46804,17506,8025,1921,6104,1244,4610,2235,1392
2020,E12000007,LONDON,Region,111688,47039,64644,19192,7210,11982,5896,21640,11440,6476
2020,E12000008,SOUTH EAST,Region,90864,67154,23703,9506,2925,6581,1349,7392,3630,1826
2020,E12000009,SOUTH WEST,Region,50472,41482,8989,4311,1434,2877,458,2137,1228,855
2020,E09000007,Camden,London Borough,2240,822,1418,360,269,91,142,436,246,234
2020,E09000013,Hammersmith and Fulham,London Borough,2031,828,1203,401,305,96,102,242,248,210
2020,E09000014,Haringey,London Borough,3383,1380,2002,775,285,490,290,276,376,285
2020,E09000019,Islington,London Borough,2594,1186,1408,420,319,101,153,227,331,277
2020,E09000020,Kensington and Chelsea,London Borough,1410,425,985,327,263,64,117,213,124,204
2020,E09000022,Lambeth,London Borough,3542,1766,1776,480,326,154,92,243,509,452
2020,E09000023,Lewisham,London Borough,4006,2035,1970,555,262,293,129,405,528,353
2020,E09000025,Newham,London Borough,5442,1426,4016,981,202,779,290,1958,607,180
2020,E09000028,Southwark,London Borough,3557,1619,1937,445,292,153,105,378,622,387
2020,E09000030,Tower Hamlets,London Borough,4291,1743,2548,458,266,192,112,1494,261,223
2020,E09000032,Wandsworth,London Borough,4258,2146,2112,761,525,236,124,463,343,421
2020,E09000033,Westminster,London Borough,2094,569,1525,341,250,91,169,513,245,257
2020,E09000002,Barking and Dagenham,London Borough,3406,1082,2324,676,95,581,270,814,515,49
2020,E09000003,Barnet,London Borough,4755,1956,2799,997,260,737,369,864,388,181
2020,E09000004,Bexley,London Borough,2786,1790,996,298,62,236,93,261,295,49
2020,E09000005,Brent,London Borough,4613,1117,3496,1040,224,816,154,1533,526,243
2020,E09000006,Bromley,London Borough,3691,2344,1347,452,189,263,137,338,249,171
2020,E09000008,Croydon,London Borough,5252,2472,2780,744,277,467,182,804,722,328
2020,E09000009,Ealing,London Borough,4462,1300,3162,814,248,566,174,1535,461,178
2020,E09000010,Enfield,London Borough,4086,1538,2548,881,181,700,635,316,566,150
2020,E09000011,Greenwich,London Borough,4031,1691,2339,666,258,408,224,597,656,196
2020,E09000015,Harrow,London Borough,3452,868,2583,1166,95,1071,98,1041,212,66
2020,E09000016,Havering,London Borough,3116,1981,1135,410,63,347,191,293,196,45
2020,E09000017,Hillingdon,London Borough,3958,1528,2430,575,147,428,124,1353,292,86
2020,E09000018,Hounslow,London Borough,3718,1088,2630,708,183,525,217,1286,305,114
2020,E09000021,Kingston upon Thames,London Borough,1838,972,866,296,138,158,89,293,105,83
2020,E09000024,Merton,London Borough,2783,1215,1568,521,231,290,127,454,271,195
2020,E09000026,Redbridge,London Borough,4343,1467,2876,724,130,594,329,1483,263,77
2020,E09000027,Richmond upon Thames,London Borough,2021,1175,846,341,190,151,72,188,81,164
2020,E09000029,Sutton,London Borough,2350,1357,993,293,98,195,96,381,150,73
2020,E09000031,Waltham Forest,London Borough,4197,2013,2184,785,218,567,288,565,339,207
2020,E09000012,Hackney and City of London,London Borough,3982,2140,1842,501,359,142,202,393,408,338
2021,E92000001,ENGLAND,Country,595948,419779,176123,61501,18683,42818,11815,60720,28570,13517
2021,W92000004,WALES,Country,28781,25215,3565,1480,477,1003,157,1125,570,233
2021,E12000001,NORTH EAST,Region,25153,21840,3312,1043,363,680,135,1312,649,173
2021,E12000002,NORTH WEST,Region,78127,61092,17030,5070,1551,3519,557,7560,3095,748
2021,E12000003,YORKSHIRE AND THE HUMBER,Region,56377,44188,12189,4450,846,3604,414,4903,1972,450
2021,E12000004,EAST MIDLANDS,Region,47860,36173,11682,5106,911,4195,854,3528,1778,416
2021,E12000005,WEST MIDLANDS,Region,63846,46179,17666,5373,1112,4261,657,7770,3146,720
2021,E12000006,EAST,Region,67054,49248,17800,8094,2083,6011,1317,4656,2241,1492
2021,E12000007,LONDON,Region,110961,47958,62986,18365,7275,11090,5933,21394,10725,6569
2021,E12000008,SOUTH EAST,Region,94292,69932,24353,9789,3132,6657,1447,7370,3677,2070
2021,E12000009,SOUTH WEST,Region,52278,43169,9105,4211,1410,2801,501,2227,1287,879
2021,E09000007,Camden,London Borough,2317,826,1491,395,294,101,138,456,247,255
2021,E09000013,Hammersmith and Fulham,London Borough,2146,819,1326,385,268,117,141,300,257,243
2021,E09000014,Haringey,London Borough,3376,1414,1961,748,262,486,296,257,348,312
2021,E09000019,Islington,London Borough,2657,1267,1389,436,337,99,145,250,309,249
2021,E09000020,Kensington and Chelsea,London Borough,1455,459,995,309,242,67,113,216,128,229
2021,E09000022,Lambeth,London Borough,3554,1884,1669,506,346,160,85,224,419,435
2021,E09000023,Lewisham,London Borough,4024,2107,1916,584,290,294,146,356,473,357
2021,E09000025,Newham,London Borough,5346,1489,3856,933,222,711,299,1908,572,144
2021,E09000028,Southwark,London Borough,3525,1608,1917,491,332,159,99,350,579,398
2021,E09000030,Tower Hamlets,London Borough,4381,1777,2603,463,301,162,137,1552,271,180
2021,E09000032,Wandsworth,London Borough,4198,2075,2122,738,493,245,151,427,387,419
2021,E09000033,Westminster,London Borough,2110,632,1478,388,290,98,177,434,225,254
2021,E09000002,Barking and Dagenham,London Borough,3255,1041,2214,598,83,515,270,821,474,51
2021,E09000003,Barnet,London Borough,4780,1974,2806,949,280,669,362,919,396,180
2021,E09000004,Bexley,London Borough,2837,1840,996,290,79,211,79,280,279,68
2021,E09000005,Brent,London Borough,4427,1079,3348,962,224,738,146,1433,550,257
2021,E09000006,Bromley,London Borough,3728,2452,1276,448,194,254,120,334,185,189
2021,E09000008,Croydon,London Borough,5001,2574,2427,666,270,396,139,746,564,312
2021,E09000009,Ealing,London Borough,4397,1362,3035,733,255,478,171,1534,429,168
2021,E09000010,Enfield,London Borough,3936,1560,2376,800,169,631,631,283,519,143
2021,E09000011,Greenwich,London Borough,3906,1704,2201,621,264,357,204,556,598,222
2021,E09000015,Harrow,London Borough,3312,849,2462,1013,83,930,117,1066,202,64
2021,E09000016,Havering,London Borough,3057,1909,1148,408,79,329,192,306,183,59
2021,E09000017,Hillingdon,London Borough,4061,1612,2447,542,137,405,146,1364,321,74
2021,E09000018,Hounslow,London Borough,3678,1132,2546,571,152,419,223,1357,270,125
2021,E09000021,Kingston upon Thames,London Borough,1849,1000,849,289,126,163,100,268,96,96
2021,E09000024,Merton,London Borough,2739,1203,1536,512,212,300,120,456,242,206
2021,E09000026,Redbridge,London Borough,4275,1478,2795,675,100,575,364,1428,256,72
2021,E09000027,Richmond upon Thames,London Borough,2120,1222,898,322,172,150,114,204,88,170
2021,E09000029,Sutton,London Borough,2347,1362,985,319,107,212,79,381,131,75
2021,E09000031,Waltham Forest,London Borough,4136,2026,2109,770,245,525,261,513,342,223
2021,E09000012,Hackney and City of London,London Borough,4031,2222,1809,501,367,134,168,415,385,340
2022,E92000001,ENGLAND,Country,577046,397432,179558,56663,17706,38957,11872,66075,31591,13357
2022,W92000004,WALES,Country,28296,24596,3696,1357,426,931,177,1254,715,193
2022,E12000001,NORTH EAST,Region,24701,20994,3706,1013,361,652,141,1490,878,184
2022,E12000002,NORTH WEST,Region,76399,58237,18149,4750,1543,3207,616,8316,3608,859
2022,E12000003,YORKSHIRE AND THE HUMBER,Region,55203,42275,12923,4365,857,3508,409,5211,2467,471
2022,E12000004,EAST MIDLANDS,Region,46849,34702,12142,4751,813,3938,816,4059,2095,421
2022,E12000005,WEST MIDLANDS,Region,63368,44620,18743,5200,1090,4110,665,8459,3648,771
2022,E12000006,EAST,Region,64294,46159,18127,7425,1941,5484,1363,5240,2604,1495
2022,E12000007,LONDON,Region,106696,44846,61846,16658,6847,9811,5826,22413,10799,6150
2022,E12000008,SOUTH EAST,Region,90589,65828,24754,8681,2924,5757,1567,8358,4087,2061
2022,E12000009,SOUTH WEST,Region,48947,39771,9168,3820,1330,2490,469,2529,1405,945
2022,E09000007,Camden,London Borough,2072,783,1288,322,248,74,129,426,208,203
2022,E09000013,Hammersmith and Fulham,London Borough,2006,810,1196,379,291,88,122,253,245,197
2022,E09000014,Haringey,London Borough,3085,1279,1806,710,284,426,260,213,354,269
2022,E09000019,Islington,London Borough,2443,1153,1290,387,297,90,120,233,298,252
2022,E09000020,Kensington and Chelsea,London Borough,1387,465,922,289,236,53,105,217,135,176
2022,E09000022,Lambeth,London Borough,3345,1684,1661,471,338,133,74,260,470,386
2022,E09000023,Lewisham,London Borough,3820,1955,1865,526,295,231,154,387,460,338
2022,E09000025,Newham,London Borough,5598,1537,4061,876,210,666,288,2155,554,188
2022,E09000028,Southwark,London Borough,3393,1562,1831,387,270,117,112,351,589,392
2022,E09000030,Tower Hamlets,London Borough,4127,1635,2491,400,241,159,119,1546,252,174
2022,E09000032,Wandsworth,London Borough,3812,1904,1907,625,434,191,145,444,341,352
2022,E09000033,Westminster,London Borough,1967,553,1414,324,233,91,164,462,231,233
2022,E09000002,Barking and Dagenham,London Borough,3360,1044,2316,602,106,496,274,901,477,62
2022,E09000003,Barnet,London Borough,4621,1813,2808,852,271,581,424,962,353,217
2022,E09000004,Bexley,London Borough,2765,1759,1006,263,66,197,86,282,314,61
2022,E09000005,Brent,London Borough,4431,1078,3353,931,224,707,155,1541,491,235
2022,E09000006,Bromley,London Borough,3431,2222,1209,401,178,223,110,313,236,149
2022,E09000008,Croydon,London Borough,4872,2326,2546,626,270,356,158,784,629,349
2022,E09000009,Ealing,London Borough,4427,1278,3149,664,240,424,209,1680,397,199
2022,E09000010,Enfield,London Borough,3921,1520,2401,824,197,627,587,330,506,154
2022,E09000011,Greenwich,London Borough,3760,1559,2200,586,237,349,198,580,644,192
2022,E09000015,Harrow,London Borough,3298,859,2439,967,83,884,113,1095,194,70
2022,E09000016,Havering,London Borough,3089,1840,1249,368,70,298,215,393,208,65
2022,E09000017,Hillingdon,London Borough,4037,1533,2504,446,118,328,150,1510,335,63
2022,E09000018,Hounslow,London Borough,3529,991,2538,496,147,349,191,1408,326,117
2022,E09000021,Kingston upon Thames,London Borough,1726,910,816,253,130,123,95,279,103,86
2022,E09000024,Merton,London Borough,2497,1090,1407,409,194,215,131,448,246,173
2022,E09000026,Redbridge,London Borough,4243,1429,2814,568,115,453,331,1543,302,70
2022,E09000027,Richmond upon Thames,London Borough,1827,1075,752,269,169,100,108,154,86,135
2022,E09000029,Sutton,London Borough,2220,1272,948,296,94,202,92,366,120,74
2022,E09000031,Waltham Forest,London Borough,4040,1976,2064,699,234,465,264,543,342,216
2022,E09000012,Hackney and City of London,London Borough,3547,1952,1595,442,327,115,143,354,353,303
